seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-warmup-0000,ipfs_add,True,,34,1783316411885,905155,,True
2,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-warmup-0000,fabric_post_task,True,,2509,1783316411919,905155,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,True
3,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-warmup-0000,fabric_post_allocation,True,,2848,1783316414428,0,,True
4,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-warmup-0000,fabric_post_snapshot,True,,2532,1783316417276,0,,True
5,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-warmup-0000,fabric_query_confirmation,True,,383,1783316419808,0,,True
6,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-warmup-0000,fabric_vote_1,True,,2488,1783316420191,0,,True
7,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-warmup-0000,fabric_vote_2,True,,2469,1783316422679,0,,True
8,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-warmup-0000,fabric_settlement,True,,2511,1783316425148,0,,True
9,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-warmup-0000,fabric_query_final,True,,1112,1783316427659,0,,True
10,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-warmup-0000,ipfs_verify,True,,10,1783316428771,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,True
11,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-task-0000,ipfs_add,True,,65,1783316428783,905155,,False
12,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-task-0000,fabric_post_task,True,,2487,1783316428848,905155,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,False
13,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-task-0000,fabric_post_allocation,True,,1402,1783316431335,0,,False
14,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-task-0000,fabric_post_snapshot,True,,2547,1783316432737,0,,False
15,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-task-0000,fabric_query_confirmation,True,,418,1783316435284,0,,False
16,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-task-0000,fabric_vote_1,True,,2503,1783316435702,0,,False
17,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-task-0000,fabric_vote_2,True,,2561,1783316438205,0,,False
18,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-task-0000,fabric_settlement,True,,2502,1783316440766,0,,False
19,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-task-0000,fabric_query_final,True,,1157,1783316443268,0,,False
20,b2-fabric-b256-c4-r5,b2-fabric-b256-c4-r5-task-0000,ipfs_verify,True,,10,1783316444425,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,False
