seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-warmup-0000,ipfs_add,True,,26,1783311789948,2041,,True
2,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-warmup-0000,fabric_post_task,True,,2724,1783311789974,2041,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,True
3,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-warmup-0000,fabric_post_allocation,True,,3240,1783311792698,0,,True
4,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-warmup-0000,fabric_post_snapshot,True,,2554,1783311795938,0,,True
5,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-warmup-0000,fabric_query_confirmation,True,,411,1783311798492,0,,True
6,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-warmup-0000,fabric_vote_1,True,,2544,1783311798903,0,,True
7,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-warmup-0000,fabric_vote_2,True,,2614,1783311801447,0,,True
8,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-warmup-0000,fabric_settlement,True,,2618,1783311804061,0,,True
9,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-warmup-0000,fabric_query_final,True,,1328,1783311806679,0,,True
10,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-warmup-0000,ipfs_verify,True,,6,1783311808008,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,True
11,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-task-0001,ipfs_add,True,,66,1783311808016,1691,,False
12,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-task-0003,ipfs_add,True,,97,1783311808017,2446,,False
13,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-task-0000,ipfs_add,True,,115,1783311808015,2041,,False
14,b2-fabric-b1-c4-r2-retry1,b2-fabric-b1-c4-r2-retry1-task-0002,ipfs_add,True,,114,1783311808017,4391,,False
