seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,b2-fabric-c1-r3,b2-fabric-c1-r3-warmup-0000,ipfs_add,True,,24,1783268853240,149047,,True
2,b2-fabric-c1-r3,b2-fabric-c1-r3-warmup-0000,fabric_post_task,True,,2468,1783268853264,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
3,b2-fabric-c1-r3,b2-fabric-c1-r3-warmup-0000,fabric_post_allocation,True,,2542,1783268855732,0,,True
4,b2-fabric-c1-r3,b2-fabric-c1-r3-warmup-0000,fabric_post_snapshot,True,,2559,1783268858274,0,,True
5,b2-fabric-c1-r3,b2-fabric-c1-r3-warmup-0000,fabric_query_confirmation,True,,380,1783268860833,0,,True
6,b2-fabric-c1-r3,b2-fabric-c1-r3-warmup-0000,fabric_vote_1,True,,2479,1783268861213,0,,True
7,b2-fabric-c1-r3,b2-fabric-c1-r3-warmup-0000,fabric_vote_2,True,,2497,1783268863692,0,,True
8,b2-fabric-c1-r3,b2-fabric-c1-r3-warmup-0000,fabric_settlement,True,,2573,1783268866189,0,,True
9,b2-fabric-c1-r3,b2-fabric-c1-r3-warmup-0000,fabric_query_final,True,,1097,1783268868762,0,,True
10,b2-fabric-c1-r3,b2-fabric-c1-r3-warmup-0000,ipfs_verify,True,,7,1783268869859,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
11,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0000,ipfs_add,True,,24,1783268869867,149047,,False
12,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0000,fabric_post_task,True,,2554,1783268869891,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
13,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0000,fabric_post_allocation,True,,2588,1783268872445,0,,False
14,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0000,fabric_post_snapshot,True,,2482,1783268875033,0,,False
15,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0000,fabric_query_confirmation,True,,384,1783268877515,0,,False
16,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0000,fabric_vote_1,True,,2469,1783268877899,0,,False
17,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0000,fabric_vote_2,True,,2531,1783268880368,0,,False
18,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0000,fabric_settlement,True,,2497,1783268882899,0,,False
19,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0000,fabric_query_final,True,,1058,1783268885396,0,,False
20,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0000,ipfs_verify,True,,7,1783268886454,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
21,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0001,ipfs_add,True,,93,1783268886461,234739,,False
22,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0001,fabric_post_task,True,,2497,1783268886554,234739,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
23,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0001,fabric_post_allocation,True,,2540,1783268889051,0,,False
24,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0001,fabric_post_snapshot,True,,2480,1783268891591,0,,False
25,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0001,fabric_query_confirmation,True,,356,1783268894071,0,,False
26,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0001,fabric_vote_1,True,,2484,1783268894428,0,,False
27,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0001,fabric_vote_2,True,,2529,1783268896912,0,,False
28,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0001,fabric_settlement,True,,2518,1783268899441,0,,False
29,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0001,fabric_query_final,True,,1125,1783268901959,0,,False
30,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0001,ipfs_verify,True,,8,1783268903084,0,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
31,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0002,ipfs_add,True,,41,1783268903092,243506,,False
32,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0002,fabric_post_task,True,,2488,1783268903133,243506,QmU3U9h9muSPZBc7BsiUCPuhCQkGouMwQZkMrRRDKeUnBs,False
33,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0002,fabric_post_allocation,True,,2524,1783268905621,0,,False
34,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0002,fabric_post_snapshot,True,,2454,1783268908145,0,,False
35,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0002,fabric_query_confirmation,True,,402,1783268910599,0,,False
36,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0002,fabric_vote_1,True,,2483,1783268911001,0,,False
37,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0002,fabric_vote_2,True,,2501,1783268913484,0,,False
38,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0002,fabric_settlement,True,,2481,1783268915985,0,,False
39,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0002,fabric_query_final,True,,1122,1783268918466,0,,False
40,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0002,ipfs_verify,True,,9,1783268919588,0,QmU3U9h9muSPZBc7BsiUCPuhCQkGouMwQZkMrRRDKeUnBs,False
41,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0003,ipfs_add,True,,29,1783268919597,227419,,False
42,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0003,fabric_post_task,True,,2483,1783268919626,227419,QmWAoR4a7cqHhV4o9R3N8rDsjPcNcWMkHL8Z5WcS1mgxri,False
43,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0003,fabric_post_allocation,True,,2492,1783268922109,0,,False
44,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0003,fabric_post_snapshot,True,,2469,1783268924601,0,,False
45,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0003,fabric_query_confirmation,True,,351,1783268927070,0,,False
46,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0003,fabric_vote_1,True,,2534,1783268927421,0,,False
47,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0003,fabric_vote_2,True,,2494,1783268929955,0,,False
48,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0003,fabric_settlement,True,,2536,1783268932449,0,,False
49,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0003,fabric_query_final,True,,1084,1783268934985,0,,False
50,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0003,ipfs_verify,True,,7,1783268936069,0,QmWAoR4a7cqHhV4o9R3N8rDsjPcNcWMkHL8Z5WcS1mgxri,False
51,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0004,ipfs_add,True,,82,1783268936076,293643,,False
52,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0004,fabric_post_task,True,,2465,1783268936158,293643,QmfTn2wEWKDdRnBVTP2EGggc2fLS2zysR49b3UxS8iRGQd,False
53,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0004,fabric_post_allocation,True,,2584,1783268938623,0,,False
54,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0004,fabric_post_snapshot,True,,2483,1783268941207,0,,False
55,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0004,fabric_query_confirmation,True,,372,1783268943690,0,,False
56,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0004,fabric_vote_1,True,,2507,1783268944062,0,,False
57,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0004,fabric_vote_2,True,,2483,1783268946569,0,,False
58,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0004,fabric_settlement,True,,2493,1783268949052,0,,False
59,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0004,fabric_query_final,True,,1063,1783268951545,0,,False
60,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0004,ipfs_verify,True,,7,1783268952608,0,QmfTn2wEWKDdRnBVTP2EGggc2fLS2zysR49b3UxS8iRGQd,False
61,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0005,ipfs_add,True,,26,1783268952616,243938,,False
62,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0005,fabric_post_task,True,,2486,1783268952642,243938,QmbhenpmX42tDu32tHki9hDD4g4UQfD84SWxsxuPQVG3k2,False
63,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0005,fabric_post_allocation,True,,2486,1783268955128,0,,False
64,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0005,fabric_post_snapshot,True,,2467,1783268957614,0,,False
65,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0005,fabric_query_confirmation,True,,395,1783268960081,0,,False
66,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0005,fabric_vote_1,True,,2507,1783268960476,0,,False
67,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0005,fabric_vote_2,True,,2482,1783268962983,0,,False
68,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0005,fabric_settlement,True,,2511,1783268965465,0,,False
69,b2-fabric-c1-r3,b2-fabric-c1-r3-task-0005,fabric_query_final,True,,1189,1783268967976,0,,False
